country,age,education,gender,ethnicity,organization_type,job_industry,primary_job_function,current_role,planned_job_postings,python,r_programming,java,java_script,c_c++,c#,julia,html_css,bash_shell,sql,go,php,rust,typescript,"in_your_work,_how_much_more_time_have_you_spent_this_year_on_generative_ai_techniques_such_as_generative_adversarial_networks_gans,_variational_autoencoders_vaes,_or_transformer_models_compared_to_last_year",what_are_you_using_generative_ai_for_select_all_that_apply__selected_choice,has_your_company_already_hired_or_plan_on_hiring_any_of_the_following_roles_select_all_that_apply__selected_choice,"what_topics,_tools,_or_skills_are_covered_in_your_courses_in_preparation_for_entering_the_data_science_ml_field_select_all_that_apply","in_your_opinion,_what_is_the_biggest_obstacle_to_obtaining_the_experience_required_for_a_career_in_data_science_or_related_fields__selected_choice",what_would_be_your_ideal_job_title__selected_choice
GREECE,42-57,MASTER’S DEGREE,FEMALE,WHITE,EDUCATIONAL INSTITUTION,EDUCATION,NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,MACHINE LEARNING,DEEP LEARNING,NLP,ADVANCED MATHEMATICS,PYTHON,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",LACK OF SOCIAL CAPITAL OR MENTOR RELATIONSHIPS,AI ENGINEER
GUATEMALA,42-57,MASTER’S DEGREE,MALE,"WHITE,LATINE/HISPANIC",COMMERCIAL (FOR-PROFIT) ENTITY,TECHNOLOGY,OTHER (PLEASE INDICATE BELOW),IT ADMIN / INFORMATION SECURITY,OTHER (PLEASE INDICATE BELOW),,,,,,,,,,,,,,,,,,,,
GUATEMALA,26-41,MASTER’S DEGREE,MALE,LATINE/HISPANIC,,,,,,,,,,,,,,,,,,,,,,,,,
GUATEMALA,42-57,DOCTORAL DEGREE,FEMALE,LATINE/HISPANIC,COMMERCIAL (FOR-PROFIT) ENTITY,ELECTRONICS,PRODUCT MANAGER,IT ADMIN / INFORMATION SECURITY,"AI ENGINEER,PROMPT ENGINEER,AI AUDITOR,BIG DATA ENGINEER",,,,,,,,,,,,,,,,,,,,
GUYANA,42-57,SOME COLLEGE,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,HOSPITALITY,APPLIED SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,PROBABILITY AND STATISTICS,SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,DEVELOPER ADVOCATE
HONDURAS,18-25,BACHELOR’S DEGREE,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,
HONG KONG,42-57,MASTER’S DEGREE,MALE,SOUTHEAST ASIAN,EDUCATIONAL INSTITUTION,EDUCATION,PROFESSOR/INSTRUCTOR/RESEARCHER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
HONG KONG,18-25,SOME COLLEGE,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,
HONG KONG,18-25,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,TECHNOLOGY,OTHER (PLEASE INDICATE BELOW),DATA SCIENCE PRACTITIONER,,100,19,0,,17,,,,31,81,,,,,SIGNIFICANTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS",NONE OF THESE,,,
HUNGARY,42-57,MASTER’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,TELECOMMUNICATIONS,DEVELOPER,OTHER,,51,,,,27,,,,84,49,17,,,,THE SAME AMOUNT,AUTOMATING TASKS,BIG DATA ENGINEER,,,
ICELAND,26-41,MASTER’S DEGREE,FEMALE,WHITE,EDUCATIONAL INSTITUTION,RESEARCH & DEVELOPMENT,DATA SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,PROBABILITY AND STATISTICS,MACHINE LEARNING,DEEP LEARNING,ADVANCED MATHEMATICS,PYTHON,R,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",LEARNING NEW LANGUAGES,DATA SCIENTIST
INDIA,18-25,BACHELOR’S DEGREE,MALE,EAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,INSURANCE,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,100,17,18,,,,,,49,74,,,,0,LESS,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)","AI DATA ANALYST,COMPUTER VISION ENGINEER",,,
INDIA,26-41,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,PROFESSIONAL SERVICES,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,99,,,17,,,,23,50,26,,,,,SIGNIFICANTLY MORE,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI ENGINEER,AI DATA ANALYST,PROMPT ENGINEER",,,
INDIA,18-25,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,EDUCATIONAL INSTITUTION,ENGINEERING,BUSINESS ANALYST,STUDENT,,,,,,,,,,,,,,,,,,,"BUSINESS ANALYTICS,MACHINE LEARNING,DEEP LEARNING,DATA VISUALIZATION,ETHICS IN DATA SCIENCE/MACHINE LEARNING,PYTHON,SQL",COST,DATA ANALYST
INDIA,42-57,MASTER’S DEGREE,FEMALE,SOUTHEAST ASIAN,EDUCATIONAL INSTITUTION,TECHNOLOGY,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,78,68,52,55,44,27,4,55,2,79,11,18,1,7,LESS,"DATA CLEANING, VISUALIZATION, ANALYSIS","AI ENGINEER,AI DATA ANALYST,BIG DATA ENGINEER",,,
INDIA,18-25,MASTER’S DEGREE,MALE,OTHER (PLEASE INDICATE),NOT APPLICABLE (STUDENT),RESEARCH & DEVELOPMENT,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,100,49,,,,,25,26,77,26,,25,,,LESS,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS",OTHER (PLEASE INDICATE BELOW),,,
INDIA,26-41,MASTER’S DEGREE,MALE,"BLACK,WHITE,EAST ASIAN",COMMERCIAL (FOR-PROFIT) ENTITY,TECHNOLOGY,DATA SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,PROBABILITY AND STATISTICS,BUSINESS ANALYTICS,MACHINE LEARNING,DEEP LEARNING,NLP,ADVANCED MATHEMATICS,ETHICS IN DATA SCIENCE/MACHINE LEARNING,PYTHON,R,SQL,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,DATA SCIENTIST
INDIA,18-25,BACHELOR’S DEGREE,MALE,EAST ASIAN,EDUCATIONAL INSTITUTION,EDUCATION,BUSINESS ANALYST,STUDENT,,,,,,,,,,,,,,,,,,,"COMMUNICATION SKILLS,ENGINEERING SKILLS,MACHINE LEARNING,DATA VISUALIZATION,PYTHON,R,SQL,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",FINDING AN INTERNSHIP,DATA ANALYST
INDIA,18-25,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,EDUCATIONAL INSTITUTION,ENGINEERING,NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"BUSINESS KNOWLEDGE,COMMUNICATION SKILLS,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,MACHINE LEARNING,NLP,PYTHON,R,SQL",COST,DATA SCIENTIST
INDIA,18-25,HIGH SCHOOL OR EQUIVALENT,FEMALE,"SOUTHEAST ASIAN,OTHER (PLEASE INDICATE)",NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,MACHINE LEARNING,NLP,ADVANCED MATHEMATICS,COMPUTER SYSTEMS,PYTHON,JAVASCRIPT,SQL",SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,OTHER (PLEASE INDICATE BELOW)
INDIA,26-41,MASTER’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,HEALTHCARE,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,100,48,,,,,0,0,,100,,0,,,SLIGHTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI ENGINEER,AI DATA ANALYST,BIG DATA ENGINEER",,,
INDIA,18-25,MASTER’S DEGREE,FEMALE,DECLINE TO ANSWER,NOT APPLICABLE (STUDENT),EDUCATION,DATA SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,"COMMUNICATION SKILLS,PROBABILITY AND STATISTICS,MACHINE LEARNING,DEEP LEARNING,NLP,DATA VISUALIZATION,COMPUTER VISION/IMAGE PROCESSING,PYTHON,SQL,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",FINDING AN INTERNSHIP,DATA SCIENTIST
INDIA,26-41,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,FINANCE,BUSINESS ANALYST,DATA SCIENCE PRACTITIONER,,50,21,,,,,,0,,100,,,,,SLIGHTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS",BIG DATA ENGINEER,,,
INDIA,26-41,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,TECHNOLOGY,DEVELOPER,OTHER,,50,,,28,,86,,18,,81,,,,,LESS,NOT CURRENTLY USING,NONE OF THESE,,,
INDIA,26-41,BACHELOR’S DEGREE,MALE,OTHER (PLEASE INDICATE),COMMERCIAL (FOR-PROFIT) ENTITY,CONSULTING,ML ENGINEER,DATA SCIENCE PRACTITIONER,,75,24,25,26,25,,,,53,50,,,31,,SLIGHTLY MORE,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)",NONE OF THESE,,,
INDIA,26-41,MASTER’S DEGREE,FEMALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,FOOD & BEVERAGE,SYSTEM ADMINISTRATOR,IT ADMIN / INFORMATION SECURITY,NONE OF THESE,,,,,,,,,,,,,,,,,,,,
INDIA,26-41,BACHELOR’S DEGREE,MALE,OTHER (PLEASE INDICATE),NOT-FOR-PROFIT ORGANIZATION,NOT FOR PROFIT,BUSINESS ANALYST,OTHER,,11,49,,,14,,,,,45,,,,,LESS,NOT CURRENTLY USING,AI DATA ANALYST,,,
INDIA,58-67,MASTER’S DEGREE,MALE,"EAST ASIAN,DECLINE TO ANSWER",COMMERCIAL (FOR-PROFIT) ENTITY,TECHNOLOGY,PRODUCT MANAGER,DATA SCIENCE PRACTITIONER,,100,30,11,34,,,,49,29,91,,60,,,SLIGHTLY MORE,OTHER (PLEASE INDICATE BELOW),"AI ENGINEER,COMPUTER VISION ENGINEER",,,
INDIA,26-41,BACHELOR’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,FINANCE,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,20,,,,,,,,,100,,,,,LESS,"DATA CLEANING, VISUALIZATION, ANALYSIS","AI ENGINEER,AI DATA ANALYST",,,
INDIA,42-57,MASTER’S DEGREE,MALE,EAST ASIAN,GOVERNMENT AGENCY,GOVERNMENT,SYSTEM ADMINISTRATOR,IT ADMIN / INFORMATION SECURITY,BIG DATA ENGINEER,,,,,,,,,,,,,,,,,,,,
INDIA,26-41,MASTER’S DEGREE,MALE,DECLINE TO ANSWER,COMMERCIAL (FOR-PROFIT) ENTITY,FINANCE,BUSINESS ANALYST,DATA SCIENCE PRACTITIONER,,47,,,,,,,0,,67,,,,,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS",NONE OF THESE,,,
INDIA,42-57,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,EDUCATIONAL INSTITUTION,EDUCATION,BUSINESS ANALYST,IT ADMIN / INFORMATION SECURITY,NONE OF THESE,,,,,,,,,,,,,,,,,,,,
INDIA,26-41,MASTER’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,TECHNOLOGY,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,100,,27,25,26,25,24,23,37,23,23,33,21,12,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI ENGINEER,AI DATA ANALYST,PROMPT ENGINEER,AI AUDITOR,AI ETHICIST,COMPUTER VISION ENGINEER",,,
INDIA,26-41,BACHELOR’S DEGREE,MALE,DECLINE TO ANSWER,COMMERCIAL (FOR-PROFIT) ENTITY,HEALTHCARE,ML ENGINEER,DATA SCIENCE PRACTITIONER,,100,,,,,,,,,100,,,,,LESS,NOT CURRENTLY USING,AI ENGINEER,,,
INDIA,26-41,DOCTORAL DEGREE,MALE,OTHER (PLEASE INDICATE),EDUCATIONAL INSTITUTION,EDUCATION,PROFESSOR/INSTRUCTOR/RESEARCHER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
INDIA,26-41,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,NOT APPLICABLE (STUDENT),TECHNOLOGY,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,77,,,42,,,,43,,51,,,,44,SLIGHTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS",NONE OF THESE,,,
INDIA,18-25,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"COMMUNICATION SKILLS,DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,MACHINE LEARNING,DEEP LEARNING,NLP,COMPUTER VISION/IMAGE PROCESSING,SQL",LACK OF CLARITY SURROUNDING REQUIRED EXPERIENCE,ML ENGINEER
INDIA,18-25,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,PHARMACEUTICAL,BUSINESS ANALYST,DATA SCIENCE PRACTITIONER,,32,0,,,,,,,,71,,,,,THE SAME AMOUNT,NOT CURRENTLY USING,"AI ENGINEER,AI DATA ANALYST,BIG DATA ENGINEER",,,
INDIA,42-57,MASTER’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,ENGINEERING,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,99,25,,,,45,,,,100,,,,,LESS,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","COMPUTER VISION ENGINEER,BIG DATA ENGINEER",,,
INDIA,18-25,BACHELOR’S DEGREE,FEMALE,SOUTHEAST ASIAN,NOT APPLICABLE (STUDENT),EDUCATION,ML ENGINEER,STUDENT,,,,,,,,,,,,,,,,,,,"COMMUNICATION SKILLS,DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,MACHINE LEARNING,DEEP LEARNING,PYTHON,R,JAVASCRIPT,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",LACK OF CLARITY SURROUNDING REQUIRED EXPERIENCE,ML ENGINEER
INDIA,26-41,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,CONSTRUCTION,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,27,29,49,49,83,49,22,82,53,86,21,21,21,21,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS","AI ETHICIST,COMPUTER VISION ENGINEER,BIG DATA ENGINEER",,,
INDIA,18-25,HIGH SCHOOL OR EQUIVALENT,MALE,OTHER (PLEASE INDICATE),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"ENGINEERING SKILLS,PROBABILITY AND STATISTICS,MACHINE LEARNING,DATA VISUALIZATION,ETHICS IN DATA SCIENCE/MACHINE LEARNING,PYTHON",COST,AI DATA ANALYST
INDIA,26-41,BACHELOR’S DEGREE,FEMALE,EAST ASIAN,EDUCATIONAL INSTITUTION,EDUCATION,NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"BUSINESS KNOWLEDGE,COMMUNICATION SKILLS,DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,DEEP LEARNING,NLP",LEARNING NEW LANGUAGES,COMPUTER VISION ENGINEER
INDIA,58-67,BACHELOR’S DEGREE,MALE,OTHER (PLEASE INDICATE),NOT-FOR-PROFIT ORGANIZATION,AGRICULTURE,OTHER (PLEASE INDICATE BELOW),OTHER,,75,23,22,82,,,,,,,,,,,SIGNIFICANTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS","AI ENGINEER,AI DATA ANALYST,AI AUDITOR,COMPUTER VISION ENGINEER,BIG DATA ENGINEER",,,
INDIA,18-25,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,70,58,80,70,53,62,29,87,19,85,13,21,18,72,SLIGHTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI ENGINEER,AI DATA ANALYST,PROMPT ENGINEER",,,
INDIA,18-25,HIGH SCHOOL OR EQUIVALENT,FEMALE,SOUTHEAST ASIAN,NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"BUSINESS KNOWLEDGE,COMMUNICATION SKILLS,DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,BUSINESS ANALYTICS,MACHINE LEARNING,ADVANCED MATHEMATICS,DATA VISUALIZATION,PYTHON",SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,DATA ANALYST
INDIA,42-57,DOCTORAL DEGREE,MALE,OTHER (PLEASE INDICATE),EDUCATIONAL INSTITUTION,EDUCATION,PROFESSOR/INSTRUCTOR/RESEARCHER,DATA SCIENCE PRACTITIONER,,100,47,100,54,32,,0,43,,62,,49,,,SLIGHTLY MORE,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)",NONE OF THESE,,,
INDIA,26-41,NO DEGREE,MALE,OTHER (PLEASE INDICATE),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),OTHER (PLEASE INDICATE BELOW),STUDENT,,,,,,,,,,,,,,,,,,,"PROBABILITY AND STATISTICS,BIG DATA MANAGEMENT,MACHINE LEARNING,DATA VISUALIZATION,PYTHON,R,SQL",LACK OF CLARITY SURROUNDING REQUIRED EXPERIENCE,DATA SCIENTIST
INDIA,18-25,HIGH SCHOOL OR EQUIVALENT,MALE,OTHER (PLEASE INDICATE),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"BUSINESS KNOWLEDGE,COMMUNICATION SKILLS,DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,BUSINESS ANALYTICS,BIG DATA MANAGEMENT,MACHINE LEARNING,DEEP LEARNING,NLP,ADVANCED MATHEMATICS,DATA VISUALIZATION,ETHICS IN DATA SCIENCE/MACHINE LEARNING,COMPUTER VISION/IMAGE PROCESSING,COMPUTER SYSTEMS,PYTHON,R,JAVASCRIPT,SQL,GO LANG ,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC),ALL OF THE ABOVE",FINDING AN INTERNSHIP,COMPUTER VISION ENGINEER
INDIA,18-25,BACHELOR’S DEGREE,FEMALE,OTHER (PLEASE INDICATE),NOT APPLICABLE (STUDENT),RESEARCH & DEVELOPMENT,NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,MACHINE LEARNING,COMPUTER VISION/IMAGE PROCESSING,PYTHON",SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,DATA ANALYST
INDIA,26-41,MASTER’S DEGREE,MALE,DECLINE TO ANSWER,EDUCATIONAL INSTITUTION,EDUCATION,RESEARCH SCIENTIST,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
INDIA,68,MASTER’S DEGREE,MALE,EAST ASIAN,EDUCATIONAL INSTITUTION,PROFESSIONAL SERVICES,PROFESSOR/INSTRUCTOR/RESEARCHER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
INDIA,18-25,SOME COLLEGE,MALE,OTHER (PLEASE INDICATE),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,BIG DATA MANAGEMENT,MACHINE LEARNING,DEEP LEARNING,ADVANCED MATHEMATICS,DATA VISUALIZATION,COMPUTER SYSTEMS,PYTHON,R,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",LACK OF CLARITY SURROUNDING REQUIRED EXPERIENCE,AI ENGINEER
INDIA,18-25,HIGH SCHOOL OR EQUIVALENT,MALE,"EAST ASIAN,SOUTHEAST ASIAN",NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"BUSINESS KNOWLEDGE,COMMUNICATION SKILLS,DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ENGINEERING SKILLS,PROBABILITY AND STATISTICS,BUSINESS ANALYTICS,BIG DATA MANAGEMENT,MACHINE LEARNING,DEEP LEARNING,NLP,ADVANCED MATHEMATICS,DATA VISUALIZATION,ETHICS IN DATA SCIENCE/MACHINE LEARNING,COMPUTER VISION/IMAGE PROCESSING,COMPUTER SYSTEMS,PYTHON,R,JAVASCRIPT,SQL,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",FINDING AN INTERNSHIP,ML ENGINEER
INDIA,18-25,SOME COLLEGE,FEMALE,DECLINE TO ANSWER,EDUCATIONAL INSTITUTION,HEALTHCARE,ML ENGINEER,STUDENT,,,,,,,,,,,,,,,,,,,"PROBABILITY AND STATISTICS,MACHINE LEARNING,DEEP LEARNING",LACK OF CLARITY SURROUNDING REQUIRED EXPERIENCE,ML ENGINEER
INDIA,18-25,BACHELOR’S DEGREE,MALE,OTHER (PLEASE INDICATE),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),DATA SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,"COMMUNICATION SKILLS,PROBABILITY AND STATISTICS,BUSINESS ANALYTICS,MACHINE LEARNING,DATA VISUALIZATION,PYTHON,R,SQL,PROPRIETARY TOOLS (EX. TABLEAU, GOOGLE COLAB, SAS, MATLAB, ETC)",SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,DATA ANALYST
INDIA,42-57,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,TECHNOLOGY,DEVELOPER,DATA SCIENCE PRACTITIONER,,52,,54,28,,,,29,,28,,,,,LESS,NOT CURRENTLY USING,"AI ENGINEER,BIG DATA ENGINEER",,,
INDIA,42-57,MASTER’S DEGREE,MALE,SOUTHEAST ASIAN,GOVERNMENT AGENCY,RESEARCH & DEVELOPMENT,APPLIED SCIENTIST,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
INDIA,42-57,MASTER’S DEGREE,MALE,DECLINE TO ANSWER,GOVERNMENT AGENCY,FINANCE,OTHER (PLEASE INDICATE BELOW),OTHER,,,,,,,,,,,,,,,,LESS,NOT CURRENTLY USING,"AI ENGINEER,AI DATA ANALYST,AI AUDITOR,BIG DATA ENGINEER",,,
INDIA,18-25,SOME COLLEGE,MALE,DECLINE TO ANSWER,NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,PROBABILITY AND STATISTICS,MACHINE LEARNING,DATA VISUALIZATION,ETHICS IN DATA SCIENCE/MACHINE LEARNING,PYTHON,SQL",FINDING AN INTERNSHIP,DATA SCIENTIST
INDIA,26-41,BACHELOR’S DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,CONSULTING,PRODUCT MANAGER,DATA SCIENCE PRACTITIONER,,51,22,53,0,,,,,,100,,,,,LESS,"DATA CLEANING, VISUALIZATION, ANALYSIS",AI ENGINEER,,,
INDIA,18-25,MASTER’S DEGREE,MALE,OTHER (PLEASE INDICATE),NOT APPLICABLE (STUDENT),,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,0,,,,,,,,,,,,,,LESS,AUTOMATING TASKS,NONE OF THESE,,,
INDIA,26-41,MASTER’S DEGREE,MALE,EAST ASIAN,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,18-25,BACHELOR’S DEGREE,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,18-25,HIGH SCHOOL OR EQUIVALENT,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,26-41,DOCTORAL DEGREE,MALE,SOUTHEAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,ENGINEERING,RESEARCH SCIENTIST,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
INDIA,18-25,BACHELOR’S DEGREE,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,42-57,MASTER’S DEGREE,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,18-25,HIGH SCHOOL OR EQUIVALENT,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,42-57,DOCTORAL DEGREE,FEMALE,DECLINE TO ANSWER,,,,,,,,,,,,,,,,,,,,,,,,,
